tick,iso8601,House,Care Home,OW Agriculture,OW Extraction,OW Manufacturing,OW Energy,OW Water,OW Construction,OW Trade,OW Transport,OW Catering and Accommodation,OW ICT,OW Finance,OW Real Estate,OW Technical,OW Administration,OW Education,OW Entertainment,OW Other Services,Primary School,Secondary School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Hospital,Hotel,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Belgium,France,Germany,Cemetery
0,02/23/2020T00:00:00 ,145910,501,1,0,31,1,3,82,50,32,3,26,29,10,59,39,3,0,4,6,9,4462,2044,2946,0,41,14,2,5,3,3,124,117,11225,23650,11275,0
1,02/23/2020T00:10:00 ,147155,501,1,0,31,1,3,82,50,32,3,26,29,10,59,39,3,0,4,6,9,4523,2094,1477,113,41,14,2,5,3,3,124,117,11225,23650,11275,0
2,02/23/2020T00:20:00 ,147762,501,1,0,31,1,3,82,50,32,3,26,29,10,59,39,3,0,4,6,9,4368,2018,1101,113,41,14,2,5,3,3,124,117,11225,23650,11275,0
3,02/23/2020T00:30:00 ,148404,501,1,0,31,1,3,82,50,32,3,26,29,10,59,39,3,0,4,6,9,4242,1693,805,218,41,14,2,5,3,3,124,117,11225,23650,11275,0
4,02/23/2020T00:40:00 ,148759,499,1,0,26,1,3,74,45,24,2,23,28,10,55,35,2,0,2,5,7,3917,1716,808,218,37,10,2,5,3,2,124,117,11225,23650,11275,0
5,02/23/2020T00:50:00 ,149113,499,1,0,26,1,3,74,45,24,2,23,28,10,55,35,2,0,2,5,7,3486,1548,789,482,37,10,2,5,3,2,124,117,11225,23650,11275,0
6,02/23/2020T01:00:00 ,150182,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,3005,951,1311,230,24,8,1,3,3,1,124,0,11225,23650,11275,0
7,02/23/2020T01:10:00 ,150223,500,0,0,22,1,3,52,31,21,1,15,27,3,46,28,3,0,2,4,6,3005,851,1315,230,27,10,1,4,3,2,124,0,11225,23650,11275,0
8,02/23/2020T01:20:00 ,150674,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,2779,952,1168,230,24,8,1,3,3,1,0,0,11225,23650,11275,0
9,02/23/2020T01:30:00 ,151040,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,2576,797,1160,230,24,8,1,3,3,1,0,0,11225,23650,11275,0
10,02/23/2020T01:40:00 ,151425,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,2576,797,775,230,24,8,1,3,3,1,0,0,11225,23650,11275,0
11,02/23/2020T01:50:00 ,151664,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,2576,797,649,117,24,8,1,3,3,1,0,0,11225,23650,11275,0
12,02/23/2020T02:00:00 ,152187,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,1876,888,260,592,24,8,1,3,3,1,0,0,11225,23650,11275,0
13,02/23/2020T02:10:00 ,152279,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,1726,976,125,592,129,8,1,3,3,1,0,0,11225,23650,11275,0
14,02/23/2020T02:20:00 ,152280,499,0,0,18,0,3,46,22,19,1,12,22,3,34,25,2,0,2,3,6,1726,976,209,507,129,8,1,3,3,1,0,0,11225,23650,11275,0
