tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189456,499,0,4376,2074,2822,0,0,0,0,0,120,108,3255
1,02/23/2020T00:10:00 ,190876,499,0,4454,2122,1381,80,0,0,0,0,120,108,3070
2,02/23/2020T00:20:00 ,191535,499,0,4291,2046,1046,80,0,0,0,0,120,108,2985
3,02/23/2020T00:30:00 ,192210,499,0,4204,1704,740,172,0,0,0,0,120,108,2953
4,02/23/2020T00:40:00 ,192523,438,0,3875,1703,818,172,0,0,0,0,120,108,2953
5,02/23/2020T00:50:00 ,192978,438,0,3451,1499,854,440,0,0,0,0,120,108,2822
6,02/23/2020T01:00:00 ,194305,280,0,2978,949,1271,212,0,0,0,0,120,0,2595
7,02/23/2020T01:10:00 ,194417,338,0,2978,871,1268,212,0,0,0,0,120,0,2506
8,02/23/2020T01:20:00 ,194879,280,0,2765,964,1104,212,0,0,0,0,0,0,2506
9,02/23/2020T01:30:00 ,195246,280,0,2549,808,1109,212,0,0,0,0,0,0,2506
10,02/23/2020T01:40:00 ,195780,280,0,2549,808,718,212,0,0,0,0,0,0,2363
11,02/23/2020T01:50:00 ,195997,280,0,2549,808,605,108,0,0,0,0,0,0,2363
12,02/23/2020T02:00:00 ,196555,280,0,1863,888,239,578,0,0,0,0,0,0,2307
13,02/23/2020T02:10:00 ,196638,280,0,1702,983,122,578,100,0,0,0,0,0,2307
14,02/23/2020T02:20:00 ,196652,280,0,1702,983,197,489,100,0,0,0,0,0,2307
15,02/23/2020T02:30:00 ,196883,280,0,1482,584,664,460,100,0,0,0,0,0,2257
16,02/23/2020T02:40:00 ,196949,280,0,1482,518,764,460,0,0,0,0,0,0,2257
17,02/23/2020T02:50:00 ,196792,280,0,1401,518,1064,460,0,0,0,0,0,0,2195
18,02/23/2020T03:00:00 ,197375,355,0,1118,387,1150,79,0,0,0,0,0,0,2246
19,02/23/2020T03:10:00 ,197751,355,0,945,340,1124,0,0,0,0,0,0,0,2195
20,02/23/2020T03:20:00 ,197908,355,0,987,0,1022,243,0,0,0,0,0,0,2195
21,02/23/2020T03:30:00 ,198060,355,0,936,0,921,314,0,0,0,0,0,0,2124
22,02/23/2020T03:40:00 ,198306,355,0,876,0,624,374,0,0,0,0,0,0,2175
23,02/23/2020T03:50:00 ,198775,355,0,841,0,186,314,0,0,0,0,0,0,2239
24,02/23/2020T04:00:00 ,195663,474,0,790,57,65,31,0,0,0,0,0,0,5630
25,02/23/2020T04:10:00 ,195698,474,0,790,57,61,0,0,0,0,0,0,0,5630
26,02/23/2020T04:20:00 ,195627,474,0,790,98,169,0,0,0,0,0,0,0,5552
27,02/23/2020T04:30:00 ,195433,474,0,790,98,295,34,34,0,0,0,0,0,5552
28,02/23/2020T04:40:00 ,195262,474,0,790,136,428,68,0,0,0,0,0,0,5552
29,02/23/2020T04:50:00 ,194959,565,0,722,306,538,68,0,0,0,0,0,0,5552
30,02/23/2020T05:00:00 ,194703,730,0,722,184,732,135,0,0,0,0,0,0,5504
31,02/23/2020T05:10:00 ,194641,870,0,470,184,795,246,0,0,0,0,0,0,5504
32,02/23/2020T05:20:00 ,194463,921,0,470,242,830,246,34,0,0,0,0,0,5504
33,02/23/2020T05:30:00 ,194070,995,0,304,229,1322,252,34,0,0,0,0,0,5504
34,02/23/2020T05:40:00 ,193927,1267,0,217,236,1384,141,34,0,0,0,0,0,5504
35,02/23/2020T05:50:00 ,193669,1428,0,170,303,1504,188,34,0,0,0,0,0,5414
36,02/23/2020T06:00:00 ,193530,2276,0,68,157,722,335,34,0,0,0,0,0,5588
37,02/23/2020T06:10:00 ,193045,2276,0,55,132,1181,433,0,0,0,0,0,0,5588
38,02/23/2020T06:20:00 ,192797,2468,0,55,271,1104,381,46,0,0,0,0,0,5588
39,02/23/2020T06:30:00 ,192522,2821,0,0,538,612,543,0,0,0,0,0,0,5674
40,02/23/2020T06:40:00 ,192110,2955,0,0,674,773,610,0,0,0,0,0,0,5588
41,02/23/2020T06:50:00 ,191812,3328,0,0,612,864,506,0,0,0,0,0,0,5588
42,02/23/2020T07:00:00 ,190469,4078,0,0,824,1407,344,0,0,0,0,0,0,5588
43,02/23/2020T07:10:00 ,190120,4226,0,0,840,1544,392,0,0,0,0,0,0,5588
44,02/23/2020T07:20:00 ,189649,4336,0,0,971,1537,564,65,0,0,0,0,0,5588
45,02/23/2020T07:30:00 ,187733,4479,0,0,1842,2442,710,34,0,0,0,0,0,5470
46,02/23/2020T07:40:00 ,186565,4704,0,0,2386,2501,913,58,0,0,0,0,0,5583
47,02/23/2020T07:50:00 ,185402,5055,474,0,2724,2396,806,163,0,0,0,0,0,5690
48,02/23/2020T08:00:00 ,184153,6000,590,0,2405,2466,761,687,91,0,0,0,0,5557
49,02/23/2020T08:10:00 ,183885,6580,623,41,1986,2065,692,1081,91,0,0,0,0,5666
50,02/23/2020T08:20:00 ,182617,6740,623,41,2444,3041,682,899,91,0,0,0,0,5532
51,02/23/2020T08:30:00 ,181077,6630,740,73,2201,3940,1388,1038,91,0,0,0,0,5532
52,02/23/2020T08:40:00 ,179270,7058,740,141,3048,4759,939,970,91,0,0,0,0,5694
53,02/23/2020T08:50:00 ,177462,7283,740,141,4482,4440,815,1107,464,0,82,0,0,5694
54,02/23/2020T09:00:00 ,173155,7755,740,152,6804,5479,906,1135,691,0,148,0,29,5716
55,02/23/2020T09:10:00 ,171945,7846,796,152,6417,5995,855,2199,691,0,192,0,29,5593
56,02/23/2020T09:20:00 ,169768,7964,796,184,7485,6941,967,1780,691,185,253,0,29,5667
57,02/23/2020T09:30:00 ,166885,8068,796,289,8784,7590,962,2306,318,431,402,0,29,5850
58,02/23/2020T09:40:00 ,164090,8356,740,355,10325,7169,1538,3188,318,431,402,0,73,5725
59,02/23/2020T09:50:00 ,162042,8499,740,300,11384,7021,2204,3227,161,1137,585,0,73,5337
60,02/23/2020T10:00:00 ,154728,8910,915,562,14325,9306,2652,4104,109,1251,821,0,73,4954
61,02/23/2020T10:10:00 ,154045,8921,960,685,14694,7995,2011,5389,109,1764,870,0,73,5194
62,02/23/2020T10:20:00 ,153197,8765,960,653,14192,8954,2359,4995,109,2146,928,0,73,5379
63,02/23/2020T10:30:00 ,150642,8893,1016,1009,14969,7463,1799,6746,109,2673,878,0,294,6219
64,02/23/2020T10:40:00 ,149031,8925,1016,1007,15192,8494,1948,6938,109,2325,1064,0,349,6312
65,02/23/2020T10:50:00 ,147791,8990,1016,1035,15269,8703,2517,7139,18,2252,1222,0,349,6409
66,02/23/2020T11:00:00 ,145451,9089,1096,1525,14469,11316,2455,7372,18,2283,1240,0,430,5966
67,02/23/2020T11:10:00 ,145902,9093,1096,1539,13903,11595,2260,6943,18,2011,1407,0,541,6402
68,02/23/2020T11:20:00 ,146508,8985,1096,1510,14415,10488,2379,6499,107,1654,1854,0,457,6758
69,02/23/2020T11:30:00 ,146438,8887,1096,2212,14446,10452,1738,6737,197,1401,1819,0,457,6830
70,02/23/2020T11:40:00 ,146057,8982,886,2246,13967,11220,2425,6757,197,1161,1491,0,457,6864
71,02/23/2020T11:50:00 ,146095,8805,886,1753,14895,12018,2215,6331,197,973,1467,0,457,6618
72,02/23/2020T12:00:00 ,144508,8165,518,3512,12889,14214,2677,6136,108,837,1441,0,428,7277
73,02/23/2020T12:10:00 ,145549,8233,528,4535,11403,12209,2906,6160,108,894,1635,0,428,8122
74,02/23/2020T12:20:00 ,146587,7994,462,5616,10601,11222,2770,5467,90,837,1559,0,428,9077
75,02/23/2020T12:30:00 ,148040,7924,462,7521,9547,8439,2564,5696,90,780,1539,0,457,9651
